,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Age,Number of Dependents,Churn Label,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Gender,Married,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
0,0,1,0.0,8,39.65,39.65,0.0,20,0.0,59.65,5433,78,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,5,72,42.55,18,72.1,5016.65,0.0,0,3063.6,8080.25,4658,39,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,0,1,7.11,26,75.55,75.55,0.0,0,7.11,82.66,3503,32,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,4,66,0.0,25,56.75,3708.4,0.0,0,0.0,3708.4,5748,35,3,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
4,0,7,36.49,42,94.05,633.45,0.0,0,255.43,888.8800000000001,5545,20,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
5,1,8,48.85,17,80.65,633.3,0.0,0,390.8,1024.1,5302,74,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
6,4,55,22.74,21,90.45,5044.8,12.48,0,1250.6999999999998,6283.02,5140,68,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
7,0,1,13.58,24,59.2,59.2,0.0,0,13.58,72.78,5020,40,3,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
8,9,66,43.77,41,115.8,7942.15,0.0,0,2888.82,10830.97,5845,28,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
9,9,72,0.0,53,53.65,3784.0,0.0,0,0.0,3784.0,5498,49,3,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
10,0,18,11.33,52,95.45,1752.55,45.61,0,203.94,1910.88,3179,71,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
11,0,3,46.65,25,73.85,196.4,0.0,0,139.95,336.35,2868,74,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
12,4,43,3.66,22,94.5,4156.8,0.0,0,157.38,4314.18,4745,76,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
13,0,21,44.01,0,19.95,416.4,0.0,0,924.2099999999999,1340.61,3632,34,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
14,0,1,36.33,4,54.65,54.65,0.0,0,36.33,90.97999999999999,5882,41,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15,1,25,19.76,12,98.5,2514.5,13.43,0,494.00000000000006,2995.07,5337,78,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
16,1,53,19.03,0,25.1,1275.6,0.0,0,1008.59,2284.19,5295,79,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
17,9,72,8.48,0,25.7,1937.4,0.0,0,610.5600000000001,2547.96,5079,70,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
18,0,14,28.65,27,89.95,1178.4,0.0,0,401.09999999999997,1579.5,5463,40,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
19,0,4,3.05,0,20.45,82.85,0.0,0,12.2,95.05,4344,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
20,1,37,6.33,14,76.5,2868.15,0.0,0,234.21,3102.36,2793,80,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
21,0,4,29.11,9,75.35,338.1,0.0,0,116.44,454.54,2220,42,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
22,8,58,37.95,18,110.65,6526.65,0.0,0,2201.1000000000004,8727.75,4761,35,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
23,10,8,31.86,59,56.3,401.5,0.0,30,254.88,686.38,3135,24,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
24,9,49,16.6,14,79.3,3902.45,0.0,0,813.4000000000001,4715.85,6366,47,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
25,0,27,3.33,18,78.05,2135.5,0.0,10,89.91,2235.41,4638,72,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
26,0,12,46.58,26,50.25,593.75,0.0,120,558.96,1272.71,3624,50,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
27,3,72,47.69,0,24.75,1859.1,0.0,0,3433.68,5292.78,4185,54,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
28,0,53,33.74,56,95.95,5036.9,0.0,0,1788.22,6825.12,4523,38,3,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
29,10,21,18.0,0,19.8,350.1,0.0,0,378.0,728.1,3243,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
30,1,1,15.28,30,70.45,70.45,0.0,0,15.28,85.73,3964,76,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
31,2,40,15.15,18,98.15,4116.8,27.89,0,606.0,4694.91,4332,68,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
32,8,44,44.87,20,61.5,2722.2,0.0,150,1974.28,4846.48,2059,60,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
33,0,55,33.6,5,45.05,2462.6,0.0,0,1848.0,4310.6,4055,48,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
34,4,52,0.0,8,35.45,1958.95,0.0,0,0.0,1958.95,5509,58,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
35,6,58,0.0,24,45.3,2651.2,40.95,0,0.0,2610.25,5444,66,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
36,0,56,27.64,7,104.75,5841.35,36.52,0,1547.8400000000001,7352.67,5128,67,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
37,9,62,24.62,29,79.95,4819.75,0.0,0,1526.44,6346.1900000000005,6488,69,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
38,9,6,5.69,27,45.65,323.45,0.0,0,34.14,357.59,4227,27,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
39,1,25,4.57,0,20.1,486.05,0.0,0,114.25,600.3,5306,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
40,0,15,44.07,19,74.45,1145.7,0.0,0,661.05,1806.75,5717,70,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
41,0,42,27.64,0,25.05,949.85,0.0,0,1160.88,2110.73,3756,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
42,9,70,3.51,0,19.85,1433.8,45.47,0,245.7,1634.03,4442,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
43,0,71,37.03,26,66.2,4692.55,0.0,0,2629.13,7321.68,4756,42,3,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
44,0,19,11.86,0,24.7,465.85,1.65,0,225.33999999999997,689.54,3612,62,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
