,Total Long Distance Charges,Total Revenue,Contract_Two Year,Payment Method_Credit Card,Internet Service,Contract_Month-to-Month,Internet Type_None,Total Charges,Internet Type_Fiber Optic,Contract_One Year,Tenure in Months,Monthly Charge,Number of Dependents,Offer_Offer E,Number of Referrals,Churn Label,Latitude,Longitude
0,0.0,59.65,0,0,1,1,0,39.65,0,0,1,39.65,0,0,0,1,34.02381,-118.156582
1,3063.6,8080.25,1,1,1,0,0,5016.65,0,0,72,72.1,0,0,5,0,34.02381,-118.156582
2,7.11,82.66,0,0,1,1,0,75.55,1,0,1,75.55,0,0,0,0,34.02381,-118.156582
3,0.0,3708.4,1,1,1,0,0,3708.4,0,0,66,56.75,3,0,4,0,34.02381,-118.156582
4,255.43,888.8800000000001,0,1,1,0,0,633.45,1,1,7,94.05,0,1,0,0,34.02381,-118.156582
5,390.8,1024.1,0,1,1,1,0,633.3,1,0,8,80.65,1,1,1,1,34.044271,-118.185237
6,1250.6999999999998,6283.02,1,0,1,0,0,5044.8,1,0,55,90.45,0,0,4,0,34.044271,-118.185237
7,13.58,72.78,0,0,1,1,0,59.2,0,0,1,59.2,3,0,0,1,34.044271,-118.185237
8,2888.82,10830.97,0,0,1,0,0,7942.15,1,1,66,115.8,0,0,9,0,34.044271,-118.185237
9,0.0,3784.0,1,1,1,0,0,3784.0,0,0,72,53.65,3,0,9,0,34.044271,-118.185237
10,203.94,1910.88,0,0,1,1,0,1752.55,1,0,18,95.45,3,0,0,1,34.108833,-118.229715
11,139.95,336.35,1,0,1,0,0,196.4,1,0,3,73.85,0,0,0,0,34.108833,-118.229715
12,157.38,4314.18,0,0,1,1,0,4156.8,1,0,43,94.5,0,0,4,0,34.108833,-118.229715
13,924.2099999999999,1340.61,0,1,0,1,1,416.4,0,0,21,19.95,0,0,0,0,34.108833,-118.229715
14,36.33,90.97999999999999,0,0,1,1,0,54.65,0,0,1,54.65,0,0,0,0,34.108833,-118.229715
15,494.00000000000006,2995.07,0,0,1,1,0,2514.5,1,0,25,98.5,1,0,1,1,33.936291,-118.332639
16,1008.59,2284.19,1,1,0,0,1,1275.6,0,0,53,25.1,0,0,1,0,33.936291,-118.332639
17,610.5600000000001,2547.96,1,1,0,0,1,1937.4,0,0,72,25.7,0,0,9,0,33.936291,-118.332639
18,401.09999999999997,1579.5,0,0,1,1,0,1178.4,0,0,14,89.95,0,0,0,1,33.936291,-118.332639
19,12.2,95.05,0,1,0,1,1,82.85,0,0,4,20.45,0,0,0,0,33.936291,-118.332639
20,234.21,3102.36,0,0,1,1,0,2868.15,1,0,37,76.5,1,0,1,1,33.972119,-118.020188
21,116.44,454.54,0,0,1,1,0,338.1,1,0,4,75.35,0,1,0,1,33.972119,-118.020188
22,2201.1000000000004,8727.75,0,1,1,0,0,6526.65,1,1,58,110.65,0,0,8,0,33.972119,-118.020188
23,254.88,686.38,0,0,1,1,0,401.5,0,0,8,56.3,1,0,10,0,33.972119,-118.020188
24,813.4000000000001,4715.85,1,0,1,0,0,3902.45,0,0,49,79.3,1,0,9,0,33.972119,-118.020188
25,89.91,2235.41,0,0,1,1,0,2135.5,1,0,27,78.05,1,0,0,1,33.989524,-118.089299
26,558.96,1272.71,0,0,1,1,0,593.75,0,0,12,50.25,0,0,0,1,33.989524,-118.089299
27,3433.68,5292.78,1,1,0,0,1,1859.1,0,0,72,24.75,2,0,3,0,33.989524,-118.089299
28,1788.22,6825.12,0,0,1,0,0,5036.9,1,1,53,95.95,3,0,0,0,33.989524,-118.089299
29,378.0,728.1,0,1,0,0,1,350.1,0,1,21,19.8,1,0,10,0,33.989524,-118.089299
30,15.28,85.73,0,0,1,1,0,70.45,1,0,1,70.45,2,1,1,1,33.79499,-118.065591
31,606.0,4694.91,0,1,1,0,0,4116.8,1,1,40,98.15,0,0,2,0,33.79499,-118.065591
32,1974.28,4846.48,0,1,1,0,0,2722.2,0,1,44,61.5,0,0,8,0,33.79499,-118.065591
33,1848.0,4310.6,0,0,1,0,0,2462.6,0,1,55,45.05,0,0,0,0,33.79499,-118.065591
34,0.0,1958.95,0,1,1,0,0,1958.95,0,1,52,35.45,0,0,4,0,33.79499,-118.065591
35,0.0,2610.25,0,0,1,1,0,2651.2,0,0,58,45.3,0,0,6,1,34.168686,-118.057505
36,1547.8400000000001,7352.67,1,0,1,0,0,5841.35,1,0,56,104.75,0,0,0,0,34.168686,-118.057505
37,1526.44,6346.1900000000005,1,1,1,0,0,4819.75,0,0,62,79.95,0,0,9,0,34.168686,-118.057505
38,34.14,357.59,0,1,1,1,0,323.45,0,0,6,45.65,0,1,9,0,34.168686,-118.057505
39,114.25,600.3,1,1,0,0,1,486.05,0,0,25,20.1,3,0,1,0,34.168686,-118.057505
40,661.05,1806.75,0,0,1,1,0,1145.7,1,0,15,74.45,2,0,0,1,34.139402,-118.128658
41,1160.88,2110.73,0,0,0,0,1,949.85,0,1,42,25.05,0,0,0,0,34.139402,-118.128658
42,245.7,1634.03,1,1,0,0,1,1433.8,0,0,70,19.85,0,0,9,0,34.139402,-118.128658
43,2629.13,7321.68,0,0,1,0,0,4692.55,0,1,71,66.2,3,0,0,0,34.139402,-118.128658
44,225.33999999999997,689.54,0,0,0,1,1,465.85,0,0,19,24.7,0,0,0,0,34.139402,-118.128658
45,188.65,681.2,0,0,1,1,0,503.6,1,0,7,76.45,2,1,0,1,34.159007,-118.087353
46,1194.24,3628.1400000000003,0,0,1,1,0,2433.9,1,0,24,104.25,0,0,3,1,34.159007,-118.087353
47,477.02000000000004,7353.070000000001,1,1,1,0,0,6876.05,1,0,61,111.6,0,0,0,1,34.159007,-118.087353
48,92.64,665.09,0,0,1,1,0,572.45,1,0,8,74.85,0,1,0,0,34.159007,-118.087353
49,65.0,239.63,0,0,1,1,0,214.55,0,0,4,50.7,0,0,0,0,34.159007,-118.087353
50,127.49,1367.79,0,0,1,1,0,1120.3,1,0,11,95.0,1,0,0,1,34.207295,-118.400022
51,181.8,684.4000000000001,0,0,1,1,0,502.6,1,0,5,89.8,0,0,0,1,34.207295,-118.400022
52,16.66,37.66,0,0,0,1,1,21.0,0,0,1,21.0,0,1,1,1,34.207295,-118.400022
53,870.76,2872.26,0,0,1,1,0,2001.5,1,0,22,89.4,0,0,0,1,34.207295,-118.400022
54,5.1,84.64999999999999,0,1,1,1,0,79.55,1,0,1,79.55,0,1,0,1,34.207295,-118.400022
55,0.0,1636.95,0,1,1,0,0,1636.95,0,1,29,55.35,3,0,6,0,34.207295,-118.400022
56,436.65,1510.9499999999998,0,0,1,1,0,1074.3,1,0,15,74.4,0,0,0,1,34.097345,-117.906736
57,21.72,101.32,0,0,1,1,0,79.6,1,0,1,79.6,0,1,0,1,34.097345,-117.906736
58,594.66,2206.86,0,1,1,1,0,1612.2,1,0,17,90.95,0,0,0,0,34.097345,-117.906736
59,75.12,300.77,0,1,1,1,0,225.65,0,0,3,70.7,1,1,0,0,34.097345,-117.906736
60,1651.44,4533.6900000000005,0,1,1,0,0,2882.25,0,1,42,67.7,0,0,0,0,34.097345,-117.906736
61,0.0,40.2,0,0,1,1,0,40.2,0,0,1,40.2,0,1,1,1,34.074492,-118.01462
62,1422.96,6547.56,0,0,1,1,0,5124.6,1,0,56,94.45,0,0,0,1,34.074492,-118.01462
63,889.48,4434.83,0,0,1,1,0,3545.35,1,0,37,101.9,0,0,0,1,34.074492,-118.01462
64,9.42,122.92,0,1,0,0,1,113.5,0,1,6,19.45,3,1,10,0,34.074492,-118.01462
65,596.96,1377.81,0,0,1,1,0,780.85,0,0,14,59.45,2,0,4,0,34.074492,-118.01462
66,0.0,132.2,0,0,1,1,0,132.2,0,0,3,41.15,0,1,0,1,34.038983,-117.991372
67,0.0,1604.5,0,0,1,0,0,1604.5,0,1,48,34.7,0,0,1,1,34.038983,-117.991372
68,70.59,1286.29,0,0,1,1,0,1135.7,1,0,13,91.1,0,0,0,1,34.038983,-117.991372
69,1205.6,2070.6499999999996,0,0,0,0,1,865.05,0,1,44,20.5,0,0,1,0,34.038983,-117.991372
